Replication #,Throughput,Workstation 1 Busy %,Workstation 2 Busy %,Workstation 3 Busy %,Inspector 1 Blocked %,Inspector 2 Blocked %,Buffer 1 Occupancy Average,Buffer 2 Occupancy Average,Buffer 3 Occupancy Average,Buffer 4 Occupancy Average,Buffer 5 Occupancy Average
1,0.096,41.134938884736414,2.3154794761662307,2.707251269886862,0.03595021919660212,84.01152358261194,0.2103897180029349,0.915346316278134,0.020434124566754204,0.325387522628818,1.9284579994309734
2,0.09813333333333334,41.559069856551815,3.4594126146053297,2.4345105972969896,0.0,90.09112611496667,0.21824294104222663,1.0572979859471514,0.0045789229907515615,0.3436083082083888,1.802666423258149
3,0.09686666666666667,43.202676822343605,2.543804888414589,2.5314281134677974,0.0,92.2486126912481,0.22949642857610983,1.0476499353578925,0.006668135818346855,0.2946304559491241,1.9557467008042908
4,0.09646666666666667,42.3779780252081,2.6902524989832157,1.6183482749737244,0.0,81.38397149177331,0.21120596330492378,0.9351396962639997,0.010468909767798346,0.4423632475026336,1.8928323435861039
5,0.09206666666666667,38.60472379025738,3.7954799884590877,1.7833082593700391,0.0346561413467983,83.83045552621255,0.18908973245713934,1.220643650635454,0.00586421671190602,0.24873971311428916,1.9530561956889065
6,0.09646666666666667,40.65178103828472,1.87905511741039,1.9757269265223258,0.0,80.31435938074146,0.20399740164528427,1.103592991761731,0.004977786538497276,0.20046911565083414,1.9718504764389602
7,0.09646666666666667,40.345751238898366,3.175774814191558,2.200674164702905,0.0,83.78333569340268,0.19874091299714808,0.6989733685459425,0.013651628131260817,0.6962924270629789,1.940817920876071
8,0.10206666666666667,43.67284063832987,2.837117225062917,1.7517176922665405,0.0025148977646434405,86.78863322999736,0.2264679323554707,0.9695000840562988,0.0031562896107725238,0.2793070866768946,1.9767130266559536
9,0.09306666666666667,40.700499609642755,2.815327347769421,2.8158023011355846,0.022125251472298258,88.57973093784761,0.19852847279457544,0.8381195244740115,0.02206869858694978,0.5410577644725842,1.8179956896762515
10,0.09986666666666667,43.437688007368244,3.32535360887265,1.926124142598066,0.0,85.97682115127662,0.2272221942934409,1.0616654053576633,0.005322022764910161,0.45202793883125025,1.9693735545048845
